iter	Passed	Remaining
417	2525	3516
418	2534	3514
419	2544	3513
420	2551	3509
421	2557	3503
422	2563	3496
423	2570	3491
424	2578	3488
425	2583	3481
426	2589	3475
427	2595	3468
428	2601	3462
429	2605	3453
430	2609	3445
431	2614	3437
432	2618	3428
433	2622	3419
434	2626	3411
435	2630	3403
436	2636	3397
437	2641	3388
438	2645	3380
439	2651	3374
440	2657	3368
441	2662	3361
442	2667	3354
443	2672	3347
444	2678	3340
445	2683	3333
446	2690	3328
447	2698	3325
448	2703	3317
449	2710	3313
450	2718	3308
451	2723	3302
452	2730	3297
453	2735	3289
454	2742	3284
455	2749	3279
456	2753	3271
457	2758	3264
458	2763	3257
459	2768	3250
460	2774	3244
461	2780	3237
462	2785	3230
463	2791	3224
464	2796	3217
465	2802	3211
466	2808	3204
467	2813	3198
468	2820	3193
469	2826	3186
470	2832	3180
471	2838	3175
472	2845	3169
473	2851	3163
474	2855	3156
475	2861	3149
476	2865	3142
477	2871	3136
478	2877	3129
479	2884	3124
480	2889	3117
481	2893	3109
482	2898	3102
483	2903	3095
484	2907	3087
485	2914	3082
486	2920	3076
487	2925	3069
488	2932	3064
489	2938	3058
490	2944	3052
491	2950	3046
492	2956	3039
493	2961	3033
494	2967	3027
495	2976	3024
496	2982	3018
497	2988	3012
498	2992	3004
499	2997	2997
500	3003	2991
501	3008	2984
502	3013	2977
503	3018	2970
504	3025	2965
505	3031	2959
506	3037	2953
507	3048	2952
508	3055	2947
509	3060	2940
510	3065	2933
511	3072	2928
512	3078	2922
513	3084	2916
514	3092	2912
515	3100	2907
516	3108	2904
517	3115	2898
518	3126	2898
519	3134	2893
520	3139	2886
521	3144	2879
522	3152	2875
523	3157	2868
524	3163	2861
525	3167	2854
526	3172	2847
527	3178	2840
528	3182	2833
529	3188	2827
530	3194	2821
531	3199	2814
532	3203	2807
533	3208	2799
534	3215	2794
535	3220	2788
536	3225	2780
537	3231	2774
538	3236	2768
539	3241	2761
540	3248	2755
541	3254	2750
542	3263	2746
543	3273	2743
544	3283	2741
545	3293	2738
546	3301	2733
547	3305	2726
548	3314	2722
549	3320	2716
550	3330	2713
551	3336	2707
552	3342	2701
553	3347	2694
554	3352	2687
555	3358	2681
556	3365	2676
557	3376	2674
558	3382	2668
559	3387	2661
560	3394	2655
561	3401	2651
562	3407	2644
563	3412	2638
564	3419	2633
565	3425	2626
566	3429	2618
567	3434	2612
568	3439	2605
569	3444	2598
570	3448	2590
571	3453	2583
572	3457	2576
573	3462	2569
574	3467	2562
575	3471	2555
576	3476	2548
